"Distance","CI","2POS","3POS (Partial)","3POS"
0.,1.4976958525345,1.49769585,1.49769585,1.49769586
.10,1.3465453072470,1.34672978,1.34676839,1.34657141
.20,1.1880631190469,1.18802992,1.18806296,1.18806285
.30,1.0356548137587,1.03438931,1.03554850,1.03565465
.40,1.1241576670015,1.14868067,1.12415902,1.12415804
.50,.9492541019604,2.02815403,.94937898,.94924860
.60,1.10037289854159,2.24818367,1.34043679,1.10037310
.70,1.61895529075326,2.48482279,1.70626716,1.61895569
.80,2.0576566341738,2.71414811,2.05055169,2.05765671
.90,2.3356177796680,2.89043830,2.3084522,2.33561800
1.00,2.5089609247965,3.01343197,2.48820360,2.50896092
1.10,2.6215232614345,3.09460897,2.61680852,2.62152326
1.20,2.6979386013436,3.14733524,2.69793857,2.69793860
1.30,2.7518325289461,3.18173326,2.75183250,2.75183255
1.40,2.7910422256859,3.20436334,2.79104220,2.79104223
1.50,2.8202928927302,3.21929728,2.82029287,2.82029290
1.60,2.8425615299314,3.22907316,2.84256151,2.84256152
1.70,2.8597973609633,3.23531004,2.85979735,2.85979732
1.80,2.8733196245095,3.23907124,2.87331945,2.87331949
1.90,2.8840468930428,3.24107585,2.88404688,2.88404713
2.00,2.8926345712379,3.24182306,2.89263456,2.89263461
